project_improvements_id,project_improvements_title,project_improvements_goal,project_improvements_start,project_improvements_deadline,project_improvements_status_name,project_improvements_owner,project_improvements_origin,planned_budget,current_budget
108,Project Name,,,,,Owner,,0,0

No expenses for this project

109,Anti-Virus - Mac  Checklit - Build,,2013-02-13,2013-08-15,Planned,agustin.roca,,0,0

No expenses for this project

110,Scanning-Vulnerability Interno,,2012-11-21,2013-10-17,Ongoing,nelson.fernandez,,0,0

No expenses for this project

111,Improve current logging infrastrucutre,,2012-11-05,2013-11-21,Ongoing,agustin.roca,,0,0

No expenses for this project

112,Improve JPMC CCTV Coverage,,2012-12-18,2013-07-17,Ongoing,nelson.fernandez,,0,0

No expenses for this project

113,Night reviews of Globant sites,,2013-01-21,2013-04-16,Completed,nelson.fernandez,,0,0

No expenses for this project

114,Security Lockers at SP and NP,,2012-06-04,2012-10-10,Completed,nelson.fernandez,,0,0

No expenses for this project

115,Improvement of Security Policies,,2012-01-02,2012-07-18,Completed,nelson.fernandez,,0,0

No expenses for this project

116,Perform an Internal Audit,,2012-02-06,2012-05-15,Completed,nelson.fernandez,,0,0

No expenses for this project

117,Trac Management - Roles Definition,,2012-10-17,2013-12-10,Completed,,,0,0

No expenses for this project

118,Automatizing AD user credentials creation,,2012-07-10,2013-11-28,Ongoing,gustavo.ugaz,,0,0

No expenses for this project

119,Security Awareness,,,,Completed,,,0,0

No expenses for this project

120,People Care File Drive,,,,Completed,,,0,0

No expenses for this project

121,Manager - Awareness Training,,2012-10-09,2012-12-04,Completed,esteban.ribicic,,0,0

No expenses for this project

122,USB Blockage,,2013-01-14,2014-03-20,Ongoing,esteban.ribicic,,0,0

No expenses for this project

123,Assets Management,,2012-05-15,2013-07-10,Ongoing,gustavo.ugaz,,0,0

No expenses for this project

124,Glow Billing Reviews,,2012-08-14,2013-07-19,Ongoing,esteban.ribicic,,0,0

No expenses for this project

125,SAP User Reviews,,,,Completed,,,0,0

No expenses for this project

126,IDS Refreshment - Globan Entero -,,2012-08-16,2013-12-10,Ongoing,agustin.roca,,0,0

No expenses for this project

127,Security applied at Globant SDLC,,2013-01-16,2013-12-26,Ongoing,esteban.ribicic,,0,0

No expenses for this project

128,Publishing Information,,,,Completed,,,0,0

No expenses for this project

129,Emails Group Reviews,,2013-03-05,2014-01-16,Ongoing,nelson.fernandez,,0,0

No expenses for this project

130,Software Reviews,,2012-08-07,2013-03-12,Completed,esteban.ribicic,,0,0

No expenses for this project

131,Globant AD GPO (Apple devices),,2013-03-13,2013-10-17,Ongoing,esteban.ribicic,,0,0

No expenses for this project

132,Publication of Services to Internet,,2012-10-17,2013-01-09,Completed,esteban.ribicic,,0,0

No expenses for this project

133,Revision procedimientos control de acceso en las oficinas,,,,,gustavo.ugaz,,0,0

No expenses for this project

